tweet id;name;username;tweet text;reference type;reference id;created at;like;quote;reply;retweet
1475345458503430000,00;juragan ikan;kaki_fluffy;@Queenrana09 @abufaizah03 Dan salafi adalah teroris macam taliban. Semua tahu kok;replied_to;1475247763961130000,00;2021-12-27T05:59:02.000Z;0;0;1;0
1475662347263880000,00;Dadang Suryana;Dadang_suryana5;@ropspimajainal Apa yang dilakukan oleh para golongan teroris KKB sudah sangat di luar batas wajar banyak korban dan banyak kerusakan;replied_to;1475328609845800000,00;2021-12-28T02:58:14.000Z;0;0;0;0
1475662333959540000,00;Dadang Suryana;Dadang_suryana5;@ropspimajainal Apa yang dilakukan oleh para golongan teroris KKB sudah sangat di luar batas wajar banyak korban dan banyak kerusakan;replied_to;1475328608289700000,00;2021-12-28T02:58:11.000Z;0;0;0;0
1475662310018480000,00;Dadang Suryana;Dadang_suryana5;@ropspimajainal Apa yang dilakukan oleh para golongan teroris KKB sudah sangat di luar batas wajar banyak korban dan banyak kerusakan;replied_to;1475328606276500000,00;2021-12-28T02:58:05.000Z;0;0;0;0
1475661880513350000,00;juragan ikan;kaki_fluffy;@GagakNew nih salah satu yg seperti mereka . Silahkan lihat saja isi tweet nya, pemikiran teroris taliban semua. https://t.co/94S5GMzY0F;replied_to;1475103757834670000,00;2021-12-28T02:56:23.000Z;0;0;0;2
1475661826603900000,00;Sondok;dodomust;@Kulhugeni8 @AkhmadAli1402 @Hayuningrat7 Pesan ghaib hari ini : saya bersaksi bahwa sesungguhnya kadrun adalah sebenar benarnya iblis laknat dan mereka golongan srigala teroris;replied_to;1475631779751300000,00;2021-12-28T02:56:10.000Z;1;0;0;0
1475657967974290000,00;Bangzali;Bangzali007;@msaid_didu Ga lama lg barengan berita ini akan ada teroris, fpi dan buzzer akan komen2 sentimen agama. Uk nutupin berita;replied_to;1475627465401780000,00;2021-12-28T02:40:50.000Z;2;0;1;0
1475657095806480000,00;I'mAGoodListener;osatra777;@gigiberbuluu @AREAJULID Terduga teroris jga, padahal msh terduga;replied_to;1475390422528570000,00;2021-12-28T02:37:22.000Z;0;0;0;0
1475656953812560000,00;A.D.H;agung2417;@merapi_uncover @kinderpoyyy Yang maha berwajib isoh ra ngurusi ngono kui??? Teroris sik luwih angel wee sat set... Mosok ngurusi klitih ra rampung2;replied_to;1475464515743400000,00;2021-12-28T02:36:48.000Z;0;0;0;0
1475452002616310000,00;Seiji Suzuki;SeijiNobel;Jejak Rekam Kejahatan @ArizaPatria : ternyata Dibela Teroris ISIS. https://t.co/9qcKG2bQVj;quoted;1475240535765830000,00;2021-12-27T13:02:24.000Z;0;0;0;0
1475451685757590000,00;Steven Ningkiula;SNingkiula;@LiekeDun @FerdinandHaean3 Bahar itu teroris di kampung dia sediri, kampung arab manado saja dia tidak di hargai , masak KSAD harus tunduk dgn teroris,, bahar sedaerah dgn saya;replied_to;1474172474547790000,00;2021-12-27T13:01:09.000Z;0;0;0;0
1475450341239900000,00;#PSIgarislugu;Omdoys;@JokoediP Teroris yg ditutup2i;replied_to;1475404013105330000,00;2021-12-27T12:55:48.000Z;0;0;0;0
1475344942515940000,00;Wong waras tenan;0e37843e976d454;Si Mpood ngaco ya kayak FPI kelakuannya lebih brutal dari KKB teroris OPM aja, keblingernya KKB teroris OPM Ndung ama Mpood dianggap sodara... Ruwet ruwet pemikiran kompressor ama komandan bedil https://t.co/yitty0G2Wc;quoted;1475279888915440000,00;2021-12-27T05:56:59.000Z;0;0;0;0
1475598593637560000,00;Kang Abu;abudzaky2015;teroris tuch https://t.co/rnrhz0HkUE;quoted;1475404013105330000,00;2021-12-27T22:44:54.000Z;0;0;0;0
1475598508182810000,00;rachmad wahyu;wah121519_wahyu;Kenapa terus jd teroris...??? https://t.co/qefZLKvOgh;quoted;1475105443278060000,00;2021-12-27T22:44:34.000Z;0;0;0;0
1475104496757840000,00;SUHALIM;Sigmahalim;@ekoguruoke @RevolusiAkhlak2 @Febri90380555 @tampakgeram @ImanTangankanan @TofaTofa_id @FerdinandHaean3 Digebuk..?? Pantas teroris gak pernah habis..;replied_to;1475094036243300000,00;2021-12-26T14:01:32.000Z;0;0;1;0
1475453391438440000,00;raa*;iotaalfaro;"@akuyanet @moviemenfes Setujuu pas keliling mall masih parno, ""duh gimana kalo tiba-tiba ada kelompok teroris nyerang"" wkwk";replied_to;1475450696447130000,00;2021-12-27T13:07:55.000Z;0;0;1;0
1475452643313020000,00;Steven Ningkiula;SNingkiula;@AidilZaqwan1 @FerdinandHaean3 Betul bahar teroris asal kampung arab MANADO di tempat asanya saja dia tidak di hargai  sy sekampung dgn Bahar;replied_to;1474161004292750000,00;2021-12-27T13:04:57.000Z;0;0;0;0
1475426164566930000,00;Bob Marlep #HOKI;theSOWONG;Teologi maut ala teroris dimulai dari sikap2 intoleran. Menyedihkan ini terjadi di negara pancasila. https://t.co/hhhvfiMS35;quoted;1475389645772890000,00;2021-12-27T11:19:44.000Z;1;0;0;0
1475425559253380000,00;BANGKIT ...;Lumbalaut1;@machbeach @AgoesAguss Huahahaha kalo teroris kau anggap cebong...mimpi kau ya;replied_to;1475411395940210000,00;2021-12-27T11:17:20.000Z;0;0;0;0
1475425482304670000,00;Ndrews11;NdrewsTjan;Ali kalora kan ? Teroris kan ? Yg bakar bukan umat muslim yg ada disana kan ? https://t.co/jukryUOMHz;quoted;1475424849182930000,00;2021-12-27T11:17:01.000Z;0;0;1;0
1475104843421290000,00;JokowiLover;ekoguruoke;@Sigmahalim @RevolusiAkhlak2 @Febri90380555 @tampakgeram @ImanTangankanan @TofaTofa_id @FerdinandHaean3 Yang masuk neraka tuch kadrun teroris yg ngebom warga Indonesia yg tak berdosa. Tapi sayangnya, pendukung kadrun teroris malah nge-pro. Makanya harus d;replied_to;1475104138979460000,00;2021-12-26T14:02:55.000Z;0;0;1;0
1475105474223640000,00;JokowiLover;ekoguruoke;@Sigmahalim @RevolusiAkhlak2 @Febri90380555 @tampakgeram @ImanTangankanan @TofaTofa_id @FerdinandHaean3 Namanya kejahatan ga pernah habis sampai kiamat. Yg penting posisi kita mendukung atau menentang. Kalau kadrun teroris kan mendukung kejahatan. Kalau c;replied_to;1475104496757840000,00;2021-12-26T14:05:25.000Z;0;0;1;0
1475423212787800000,00;Panggil aja JAPRA;justaqp97;"@flywithasoka @AREAJULID Nunggu surat nangkep kalo pilihan nya antara mati dan idup keburu mati pak yang harusnya ditolongin ðŸ¤£ fuck the rules ketika sudah urgent. Masa iya ada teroris depan mata mau ditangkep ""bentar saya bikin surat dulu"" Ya keburu me";replied_to;1475390541894270000,00;2021-12-27T11:08:00.000Z;0;0;0;0
1475422759547070000,00;Rusnadi;RUSNADI99202300;@HalaMegawati @PDemokrat @MelaniLSuharli @alimuhsuharli @AgusYudhoyono Rakyat menaruh hrpn pd PD smg mjd pemimpin yg amanah adil dan jujur menghargai ulama tdk spt rezim skrng ini,ulama yg mengkritik dicurigai teroris.;replied_to;1475397785302140000,00;2021-12-27T11:06:12.000Z;0;0;0;0
1475422379186670000,00;Bang Arman;BangArmanJogja;Hampir semua rezim/penguasa suka memainkan isu radikal teroris...hanya B.J. Habibie dan Syahrir Prawiranegara (presiden sementara) yg tidak menggunakan isu radikalisme... https://t.co/D323ZoQEXc;quoted;1475382763498860000,00;2021-12-27T11:04:41.000Z;0;0;0;0
1475421037139350000,00;Veel;veelgeno;@bwarmed Dan gurunya teroris di Indonesia berasal dari Gurun, org2 frustasi dan salah memilih keyakinan;replied_to;1475365355291770000,00;2021-12-27T10:59:21.000Z;6;0;0;1
1475105684228210000,00;BUNGA RAMPE SIKKA_1 GARIS NKRI.;lukmanalwahid;@sabar_setiabudi giliran suruh mrk teriak soal kekerasan atas kaum perempuan mrk diam..betul sudah mrk ini otak teroris...;replied_to;1475102672013250000,00;2021-12-26T14:06:15.000Z;1;0;0;0
1475417153897560000,00;Aurora;salaka_9;@Crespo04946885 @benzlife888 @AntiCebongPKI @inong911 @studiklub @Hayuningrat7 Islam tidak mengajarkan teroris, goblok Luh ah maksa banget;replied_to;1468787897293680000,00;2021-12-27T10:43:56.000Z;0;0;2;0
1475411395940210000,00;mach;machbeach;@Lumbalaut1 @AgoesAguss Kenapa cebong kincep teroris perusuh  yg nyata bersenjata,punya pasukan, rusak fasum, dan makar kok malah cari cari2  teroris, https://t.co/OPZ24Xt8ql;replied_to;1475339291509190000,00;2021-12-27T10:21:03.000Z;4;0;1;0
1475105993163820000,00;fiore;Lalostparadiso;"@tubirfess Pernh nder. Bayangin lu shlat 5 waktu di katain teroris sma ortu lu sndri. Pdhl itukan wajib, hbs itu gw males. Ntr tiap gw ngapain pasti di sangkutin ""Percuma shlt bla bla""";replied_to;1475102874480770000,00;2021-12-26T14:07:29.000Z;0;0;0;0
1475347541549970000,00;juragan ikan;kaki_fluffy;@rienajahh waaah saya sudah diteror dong sama akun salafi teroris . Silahkan bersilahturahmi ke akun nya ðŸ˜ https://t.co/IcHwjvlCrd;replied_to;1475086659813210000,00;2021-12-27T06:07:19.000Z;1;0;1;0
1475347077223700000,00;No Name;SuryadiGatot;@eriemrn @Ama_xxii @TressaPuspita @KompasTV Di Perancis atas nama Kebebasan Berekspresi pemerintah nya membela orang2 Intoleran menghina Nabi dan Agama orang lain . Di India atas nama sapi pemerintah India membela radikal teroris hindu membunuh mino dsna;replied_to;1475339499349560000,00;2021-12-27T06:05:28.000Z;0;0;0;0
1475346517368070000,00;kapal oleng;bidik32;@fajarsyah_ @Jonbonjoni2 @GomarusBudiatn4 @iskandardagoel Pp kaum teroris beserta akun https://t.co/gdfGS48Ahz;replied_to;1475346039611670000,00;2021-12-27T06:03:15.000Z;0;0;0;0
1475346176735990000,00;kapal oleng;bidik32;@fajarsyah_ @Jonbonjoni2 @GomarusBudiatn4 @iskandardagoel Div polri nemu kaum teroris siap dan nantang dperiksa https://t.co/AB0RNoahE4;replied_to;1475345627072490000,00;2021-12-27T06:01:53.000Z;0;0;1;0
1475345627072490000,00;kapal oleng;bidik32;@fajarsyah_ @Jonbonjoni2 @GomarusBudiatn4 @iskandardagoel Pola kerja teroris dgn menyamar pasang merah putih https://t.co/AOfJXYw3zC;replied_to;1475343805490410000,00;2021-12-27T05:59:42.000Z;0;0;2;0
1475344918662960000,00;juragan ikan;kaki_fluffy;@Queenrana09 @abufaizah03 Tuh makanya jangan ngikut teroris biar selamat sis;replied_to;1475249924258340000,00;2021-12-27T05:56:53.000Z;0;0;1;0
1475344508480930000,00;juragan ikan;kaki_fluffy;@Queenrana09 @abufaizah03 Yang wajib itu mengingatkan kaum muslim untuk mematuhi perintah Allah yaitu Iqra yg diulang sampai 3 kali agar tdk terjerumus menjadi teroris miskin salafi wahabi;replied_to;1475251123959350000,00;2021-12-27T05:55:16.000Z;0;0;6;0
1475344201650900000,00;juragan ikan;kaki_fluffy;@Queenrana09 @abufaizah03 ya iyalah bagi kalian teroris gak ada satupun budaya menghormati ibu makanya kalian punya budak seks;replied_to;1475251445234550000,00;2021-12-27T05:54:02.000Z;0;0;6;0
1475343941931200000,00;juragan ikan;kaki_fluffy;@Queenrana09 @abufaizah03 Quraish Shihab sama sunni nya dg Buya Hamka.Anda kalau berani datang ke MUI pusat dan buktikan tuduhan anda,kalau tdk anda fitnah namanya.Dan hanya quraish shihab dan buya hamka yg diizinkan membuat tafsir alquran Indonesia moder;replied_to;1475251978062240000,00;2021-12-27T05:53:00.000Z;0;0;84;0
1475106951310620000,00;JokowiLover;ekoguruoke;@Sigmahalim @Febri90380555 @RevolusiAkhlak2 @tampakgeram @ImanTangankanan @TofaTofa_id @FerdinandHaean3 Teroris... Teroris....!!;replied_to;1475106396760780000,00;2021-12-26T14:11:18.000Z;0;0;0;0
1475106630320610000,00;JokowiLover;ekoguruoke;@Sigmahalim @RevolusiAkhlak2 @Febri90380555 @tampakgeram @ImanTangankanan @TofaTofa_id @FerdinandHaean3 Wkwkwk... Malu ni yee... ðŸ˜„ðŸ˜„Gagal membuktikan keberadaan PKI. Faktanya teroris kadrun yg dipentungin Densus tiap saat.. Karna malu, kadrun teriakÂ;replied_to;1475105784052670000,00;2021-12-26T14:10:01.000Z;0;0;1;0
1475094534610570000,00;JokowiLover;ekoguruoke;@Sigmahalim @RevolusiAkhlak2 @Febri90380555 @tampakgeram @ImanTangankanan @TofaTofa_id @FerdinandHaean3 Wkwkkw... Kadrun teroris tukang nge-lezz terus yaak  ðŸ˜„ðŸ˜„;replied_to;1475089962575940000,00;2021-12-26T13:21:57.000Z;0;0;1;0
1475093329050160000,00;JokowiLover;ekoguruoke;@RevolusiAkhlak2 @Sigmahalim @Febri90380555 @tampakgeram @ImanTangankanan @TofaTofa_id @FerdinandHaean3 Yg pendek akal mah teroris kalee. Disuruh ngebom bunuh diri mau aja.. Padahal abis bunuh diri langsung masuk neraka.. Begitulah nasib kaum lemah akal..;replied_to;1475091566930790000,00;2021-12-26T13:17:10.000Z;0;0;1;0
1475092513513820000,00;Zakaria Saja;Zakaria42412341;@geloraco Terbukti teroris papua memang nyata, atau jangan jangan rebutan pengamanan gereja antara banser dengan pace;replied_to;1475036201748940000,00;2021-12-26T13:13:55.000Z;0;0;1;0
1475091644038870000,00;Tjeinal Handoko;TjeinalH;@Candraasmara85 Kayanya GA punya cermin Dia,  bercermin... Biar tau tampang Iblis,... Terus bertobatlah... Biar punya  sopan santun, tata krama, GA arogan,  GA jadi teroris,  GA radikal lagi kelakuaannya...;replied_to;1474779302465980000,00;2021-12-26T13:10:28.000Z;0;0;0;0
