tweet id;name;username;tweet text;reference type;reference id;created at;like;quote;reply;retweet
1475345458503430000,00;juragan ikan;kaki_fluffy;@Queenrana09 @abufaizah03 Dan salafi adalah teroris macam taliban. Semua tahu kok;replied_to;1475247763961130000,00;2021-12-27T05:59:02.000Z;0;0;1;0
1475662347263880000,00;Dadang Suryana;Dadang_suryana5;@ropspimajainal Apa yang dilakukan oleh para golongan teroris KKB sudah sangat di luar batas wajar banyak korban dan banyak kerusakan;replied_to;1475328609845800000,00;2021-12-28T02:58:14.000Z;0;0;0;0
1475662333959540000,00;Dadang Suryana;Dadang_suryana5;@ropspimajainal Apa yang dilakukan oleh para golongan teroris KKB sudah sangat di luar batas wajar banyak korban dan banyak kerusakan;replied_to;1475328608289700000,00;2021-12-28T02:58:11.000Z;0;0;0;0
1475662310018480000,00;Dadang Suryana;Dadang_suryana5;@ropspimajainal Apa yang dilakukan oleh para golongan teroris KKB sudah sangat di luar batas wajar banyak korban dan banyak kerusakan;replied_to;1475328606276500000,00;2021-12-28T02:58:05.000Z;0;0;0;0
1475661880513350000,00;juragan ikan;kaki_fluffy;@GagakNew nih salah satu yg seperti mereka . Silahkan lihat saja isi tweet nya, pemikiran teroris taliban semua. https://t.co/94S5GMzY0F;replied_to;1475103757834670000,00;2021-12-28T02:56:23.000Z;0;0;0;2
1475425482304670000,00;Ndrews11;NdrewsTjan;Ali kalora kan ? Teroris kan ? Yg bakar bukan umat muslim yg ada disana kan ? https://t.co/jukryUOMHz;quoted;1475424849182930000,00;2021-12-27T11:17:01.000Z;0;0;1;0
1475104843421290000,00;JokowiLover;ekoguruoke;@Sigmahalim @RevolusiAkhlak2 @Febri90380555 @tampakgeram @ImanTangankanan @TofaTofa_id @FerdinandHaean3 Yang masuk neraka tuch kadrun teroris yg ngebom warga Indonesia yg tak berdosa. Tapi sayangnya, pendukung kadrun teroris malah nge-pro. Makanya harus d;replied_to;1475104138979460000,00;2021-12-26T14:02:55.000Z;0;0;1;0
1475105474223640000,00;JokowiLover;ekoguruoke;@Sigmahalim @RevolusiAkhlak2 @Febri90380555 @tampakgeram @ImanTangankanan @TofaTofa_id @FerdinandHaean3 Namanya kejahatan ga pernah habis sampai kiamat. Yg penting posisi kita mendukung atau menentang. Kalau kadrun teroris kan mendukung kejahatan. Kalau c;replied_to;1475104496757840000,00;2021-12-26T14:05:25.000Z;0;0;1;0
1475423212787800000,00;Panggil aja JAPRA;justaqp97;"@flywithasoka @AREAJULID Nunggu surat nangkep kalo pilihan nya antara mati dan idup keburu mati pak yang harusnya ditolongin ðŸ¤£ fuck the rules ketika sudah urgent. Masa iya ada teroris depan mata mau ditangkep ""bentar saya bikin surat dulu"" Ya keburu me";replied_to;1475390541894270000,00;2021-12-27T11:08:00.000Z;0;0;0;0
1475422759547070000,00;Rusnadi;RUSNADI99202300;@HalaMegawati @PDemokrat @MelaniLSuharli @alimuhsuharli @AgusYudhoyono Rakyat menaruh hrpn pd PD smg mjd pemimpin yg amanah adil dan jujur menghargai ulama tdk spt rezim skrng ini,ulama yg mengkritik dicurigai teroris.;replied_to;1475397785302140000,00;2021-12-27T11:06:12.000Z;0;0;0;0
1475422379186670000,00;Bang Arman;BangArmanJogja;Hampir semua rezim/penguasa suka memainkan isu radikal teroris...hanya B.J. Habibie dan Syahrir Prawiranegara (presiden sementara) yg tidak menggunakan isu radikalisme... https://t.co/D323ZoQEXc;quoted;1475382763498860000,00;2021-12-27T11:04:41.000Z;0;0;0;0
1475421037139350000,00;Veel;veelgeno;@bwarmed Dan gurunya teroris di Indonesia berasal dari Gurun, org2 frustasi dan salah memilih keyakinan;replied_to;1475365355291770000,00;2021-12-27T10:59:21.000Z;6;0;0;1
1475105684228210000,00;BUNGA RAMPE SIKKA_1 GARIS NKRI.;lukmanalwahid;@sabar_setiabudi giliran suruh mrk teriak soal kekerasan atas kaum perempuan mrk diam..betul sudah mrk ini otak teroris...;replied_to;1475102672013250000,00;2021-12-26T14:06:15.000Z;1;0;0;0
1475417153897560000,00;Aurora;salaka_9;@Crespo04946885 @benzlife888 @AntiCebongPKI @inong911 @studiklub @Hayuningrat7 Islam tidak mengajarkan teroris, goblok Luh ah maksa banget;replied_to;1468787897293680000,00;2021-12-27T10:43:56.000Z;0;0;2;0
1475411395940210000,00;mach;machbeach;@Lumbalaut1 @AgoesAguss Kenapa cebong kincep teroris perusuh  yg nyata bersenjata,punya pasukan, rusak fasum, dan makar kok malah cari cari2  teroris, https://t.co/OPZ24Xt8ql;replied_to;1475339291509190000,00;2021-12-27T10:21:03.000Z;4;0;1;0
1475105993163820000,00;fiore;Lalostparadiso;"@tubirfess Pernh nder. Bayangin lu shlat 5 waktu di katain teroris sma ortu lu sndri. Pdhl itukan wajib, hbs itu gw males. Ntr tiap gw ngapain pasti di sangkutin ""Percuma shlt bla bla""";replied_to;1475102874480770000,00;2021-12-26T14:07:29.000Z;0;0;0;0
1475347541549970000,00;juragan ikan;kaki_fluffy;@rienajahh waaah saya sudah diteror dong sama akun salafi teroris . Silahkan bersilahturahmi ke akun nya ðŸ˜ https://t.co/IcHwjvlCrd;replied_to;1475086659813210000,00;2021-12-27T06:07:19.000Z;1;0;1;0
1475347077223700000,00;No Name;SuryadiGatot;@eriemrn @Ama_xxii @TressaPuspita @KompasTV Di Perancis atas nama Kebebasan Berekspresi pemerintah nya membela orang2 Intoleran menghina Nabi dan Agama orang lain . Di India atas nama sapi pemerintah India membela radikal teroris hindu membunuh mino dsna;replied_to;1475339499349560000,00;2021-12-27T06:05:28.000Z;0;0;0;0
1475346517368070000,00;kapal oleng;bidik32;@fajarsyah_ @Jonbonjoni2 @GomarusBudiatn4 @iskandardagoel Pp kaum teroris beserta akun https://t.co/gdfGS48Ahz;replied_to;1475346039611670000,00;2021-12-27T06:03:15.000Z;0;0;0;0
1475346176735990000,00;kapal oleng;bidik32;@fajarsyah_ @Jonbonjoni2 @GomarusBudiatn4 @iskandardagoel Div polri nemu kaum teroris siap dan nantang dperiksa https://t.co/AB0RNoahE4;replied_to;1475345627072490000,00;2021-12-27T06:01:53.000Z;0;0;1;0
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
