tweet id;name;username;tweet text;reference type;reference id;created at;like;quote;reply;retweet
1475663838519480000,00;iimsutimi;iimumahat;@RadarKorupsi Ssttt...🤫🤫 dilarang koment biar ga dibilang teroris radikal;replied_to;1475343662355660000,00;2021-12-28T03:04:10.000Z;0;0;0;0
1475662347263880000,00;Dadang Suryana;Dadang_suryana5;@ropspimajainal Apa yang dilakukan oleh para golongan teroris KKB sudah sangat di luar batas wajar banyak korban dan banyak kerusakan;replied_to;1475328609845800000,00;2021-12-28T02:58:14.000Z;0;0;0;0
1475662333959540000,00;Dadang Suryana;Dadang_suryana5;@ropspimajainal Apa yang dilakukan oleh para golongan teroris KKB sudah sangat di luar batas wajar banyak korban dan banyak kerusakan;replied_to;1475328608289700000,00;2021-12-28T02:58:11.000Z;0;0;0;0
1475662310018480000,00;Dadang Suryana;Dadang_suryana5;@ropspimajainal Apa yang dilakukan oleh para golongan teroris KKB sudah sangat di luar batas wajar banyak korban dan banyak kerusakan;replied_to;1475328606276500000,00;2021-12-28T02:58:05.000Z;0;0;0;0
1475661880513350000,00;juragan ikan;kaki_fluffy;@GagakNew nih salah satu yg seperti mereka . Silahkan lihat saja isi tweet nya, pemikiran teroris taliban semua. https://t.co/94S5GMzY0F;replied_to;1475103757834670000,00;2021-12-28T02:56:23.000Z;0;0;0;2
1475661826603900000,00;Sondok;dodomust;@Kulhugeni8 @AkhmadAli1402 @Hayuningrat7 Pesan ghaib hari ini : saya bersaksi bahwa sesungguhnya kadrun adalah sebenar benarnya iblis laknat dan mereka golongan srigala teroris;replied_to;1475631779751300000,00;2021-12-28T02:56:10.000Z;1;0;0;0
1475657967974290000,00;Bangzali;Bangzali007;@msaid_didu Ga lama lg barengan berita ini akan ada teroris, fpi dan buzzer akan komen2 sentimen agama. Uk nutupin berita;replied_to;1475627465401780000,00;2021-12-28T02:40:50.000Z;2;0;1;0
1475657095806480000,00;I'mAGoodListener;osatra777;@gigiberbuluu @AREAJULID Terduga teroris jga, padahal msh terduga;replied_to;1475390422528570000,00;2021-12-28T02:37:22.000Z;0;0;0;0
1475656953812560000,00;A.D.H;agung2417;@merapi_uncover @kinderpoyyy Yang maha berwajib isoh ra ngurusi ngono kui??? Teroris sik luwih angel wee sat set... Mosok ngurusi klitih ra rampung2;replied_to;1475464515743400000,00;2021-12-28T02:36:48.000Z;0;0;0;0
1475452002616310000,00;Seiji Suzuki;SeijiNobel;Jejak Rekam Kejahatan @ArizaPatria : ternyata Dibela Teroris ISIS. https://t.co/9qcKG2bQVj;quoted;1475240535765830000,00;2021-12-27T13:02:24.000Z;0;0;0;0
